pid	qid1	qid2	question1	question2	is_duplicate
186	361	362	Entonces, ¿dónde puedo ENCONTRAR CUPONES QUE ME INTERCAMBIÓ? ¿DÓNDE ESTÁN?	Donde puedo ver mis cupones?	1
188	365	366	pero uso cajero automático	Si quiero usar un cupón	0
190	369	370	envío rápido de mensajería	hablas muy rápido	0
192	373	374	cómo encontrar un vendedor confiable	¿Puedo encontrar un vendedor verificado?	0
194	377	378	alguien más sabe vietnamita? Quiero oder	Quiero saber sobre el proceso de Western Union para comprar	0
196	381	382	¿Cómo uso el cupón selecto?	¿Cómo selecciono la moneda?	0
198	385	386	Necesito hablar con el ser humano por favor	Quiero hablar con un humano en línea	1
200	389	390	cómo hago el pedido	¿Cómo cancelo el pedido congelado?	0
202	251	392	Hola. Me extendí al servicio de atención al cliente 3 veces.	Hasta ahora todavía no he llegado a mi orden	0
204	395	396	No se puede abrir una cuenta	Lo sentimos, su cuenta se ha marcado por algunos motivos y no puede participar en esta promoción.	0
206	399	400	presento mi apelación y no pasa nada	No puedo enviar mi formulario de disputa	0
208	403	404	No recibo el correo electrónico de la orden de protección de compras	No puedo extender el tiempo de protección de una orden	0
210	407	408	que hora es en China?	¿Qué es el tiempo de procesamiento?	0
212	411	412	Necesito que confirmes mi tarjeta de crédito	Guardé mi tarjeta de crédito pero necesito reemplazarla por una nueva	0
214	415	416	¿Tienes un número de teléfono?	tienes un numero de telefono	1
216	419	420	Hola Al contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	Cuando hago clic en pagar ahora, me está llevando a la página de inicio de sesión.	0
218	423	424	el tiempo de disputa ha terminado	Mi tiempo de procesamiento ha terminado y quiero extenderlo.	0
220	427	428	Quiero enviar el pedido todo a la vez	Me gustaría pagar todo el artículo a la vez	0
222	431	432	Estoy bien	estoy en	0
224	435	436	devuélveme al operador	cómo convertir la cuenta del comprador en cuenta del vendedor?	0
226	439	440	un colega dijo que sería restaurado	Pagué un pedido pero decía que todavía está esperando el pago	0
228	443	444	¿Es esto una jodida computadora?	¿Eres una persona o una computadora?	1
230	447	448	¿Cómo puedo verificar si un vendedor es confiable?	¿Cómo reviso mi cupón?	0
232	451	452	¿Contacta al vendedor?	No puedo contactar al vendedor	0
234	403	454	No recibo el correo electrónico de la orden de protección de compras	¿Se puede extender mi protección de compra?	0
236	457	458	después de hacer mi pedido, me dijeron que habría envíos adicionales porque cambié mi dirección. Bueno, no cambié mi dirección. Pero, pagué los cargos adicionales para ver qué	Quiero cambiar mi dirección de envío para la orden de logística	0
238	461	462	Hola, no he podido pagar algunos artículos porque me dice que hay un error que intento más tarde. me puedes ayudar	He escrito al vendedor de diferentes maneras, pero él todavía me ignora	0
240	465	466	el vendedor cambió el método de envío?	¿Cómo puedo cambiar el método de envío?	0
242	469	470	Necesito los diez mejores artículos que se vendieron en 2017 en alta	¿En qué situación me será reembolsado?	0
244	473	474	Quiero confirmar que recibí la mercancía y estoy contento con ella, pero no puedo iniciar sesión	Necesito recibir mercancía pronto.	0
246	477	478	entonces estaba comprando un caso	Quiero extender la compra de protección	0
248	481	482	¿puedo ordenar por nombre de la compañía?	Nunca ordenaré de esta compañía otra vez	0
250	485	486	Hola. Quiero enviar un correo al gerente de ventas. Necesito la dirección de correo electrónico.	Necesito la dirección de correo electrónico de esta empresa	0
252	489	490	si el producto de mi pedido se coloca en Europa, y quiero llegar a finlandia. ¿Debo pagar impuestos?	Quiero hacer un pedido.	0
254	493	494	Tengo un problema con ustedes	tengo un problema con un pedido	1
256	497	498	cómo cambiar el precio	¿Cómo sabes el precio?	0
258	501	502	¿A qué hora debo contactarlo para recibir ayuda?	¿Qué haces en tu tiempo libre?	0
260	505	506	¿Cómo cancelo mi cuenta?	Me gustaría saber cómo cancelar mi cuenta?	1
262	509	510	Así que por favor borra mi nueva cuenta.	Quiero reactivar mi cuenta Por favor ayuda.	0
264	513	514	por qué el precio del producto no cambió	¿Cómo cambio el precio en euros?	0
266	439	516	un colega dijo que sería restaurado	El vendedor dijo que los bienes se perdieron.	0
268	519	520	No puedo ver el orden en mi auto	¿Por qué no puedo ver mis comentarios?	0
270	523	524	Hola, pedí un disfraz de cosplay con la moneda equivocada; Cancelé el pedido y el vendedor me dijo que se aclaró de inmediato, pero ahora no hay suficiente crédito en la tarjeta; ¿Podría amablemente recibir la cantidad lo más rápido posible? Tengo que volver	El vendedor me dijo que cancelara la orden de devolver el dinero. ¿Que puedo hacer?	0
272	527	528	Él me lo escribió ayer	el vendedor cambia de operador sin avisarme y ahora quiere que pague cargos adicionales	0
274	531	532	dirección predeterminada	¿Puede el vendedor cambiar la dirección?	0
276	419	534	Hola Al contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	¿Cuál es el estado en este momento?	0
278	537	538	es esto un ser humano?	Necesito hablar con un humano	1
280	541	542	Me gustaría lo más pronto posible	Me gustaría chatear en vivo	0
282	545	546	Entonces esto debe ser una broma, debes estar bromeando ...	Me confundiste.	0
284	549	550	Ya le pregunté algo de lo que estoy hablando con una computadora, ¿no?	tengo una disputa en progreso pero el vendedor se niega a hablar conmigo	0
286	553	554	¿Puedo reabrir una disputa?	¿Puedo reabrir la disputa después de cerrarla?	0
288	557	558	Hago clic en el botón PAGAR AHORA y dice cada vez que ha habido errores, así que no puedo pagar mi pedido	He devuelto mi pedido pero el pedido ya se ha completado.	0
290	561	562	Cada vez que intento pagar el pedido que he realizado, aparece un mensaje de error que indica que, por "motivos de seguridad", no se pudo ejecutar el pago. ¿Cómo se puede resolver esto?	Recibí un correo electrónico que decía que mi orden fue cancelada por falta de pago	0
292	513	564	por qué el precio del producto no cambió	El proveedor cambia el precio de la orden sin mi permiso	0
294	567	568	la retroalimentación no se muestra	Mi cuenta aparece en español, necesito inglés.	0
296	571	572	De acuerdo por favor. o puedo preguntarle al otro.	Puedo preguntarte algo	0
298	575	576	Solo necesito un reembolso. Estoy feliz con esto Por favor pague el dinero.	Necesito un representante en vivo por favor	0
300	579	580	Hola, me gustaría saber cómo patrocinar a un amigo.	Me gustaría saber los comentarios de un vendedor.	0
302	583	584	cancelado sin envío	No hay información para mi envío en este momento.	0
304	587	588	VEN A MI CAMA	Quiero que mi paquete llegue más rápido	0
306	591	592	El correo electrónico de registro no funciona	Recibí el correo electrónico para mi registro, pero no pude ver el enlace de verificación para hacer clic en él.	1
308	595	596	no recibo mi pedido	no hables ingles	0
310	599	600	¿Puedo usar la tarjeta visa entonces? Si es así, ¿cómo podría agregar la tarjeta a la información?	¿Cómo puedo comprar productos si no tengo una tarjeta de visa?	0
312	603	604	cómo pago dinero por mi producto, lo que elijo	¿Cómo elijo los colores que quiero?	0
314	607	608	Quiero usar otro método de pago	Quiero cancelar un pedido y usar el dinero para pagar otro pedido	0
316	611	612	Hola Eva! Necesito eliminar mi tarjeta de crédito anterior y registrar mi nueva tarjeta de crédito	Quiero un reembolso a mi tarjeta de crédito	0
318	615	616	Me gustaría saber sobre el arancel adicional. ¿Qué es? ¿Cómo puedo usar?	Recibí un cupón de descuento. Me gustaría saber cómo puedo usarlo.	0
320	619	620	no he recibido mis bienes	¿Cómo presento una disputa después de recibir mis bienes y el tiempo se agotó?	0
322	623	624	la pregunta anterior	Tengo una pregunta sobre el reembolso.	0
324	627	628	Recibí mis pedidos y estoy muy descontento con la forma en que huelen los zapatos.	Recibí un artículo con muy mal estado	1
326	631	632	mi último comandante, compro esto	¿Por qué no puedo comprar productos con mi cuenta?	0
328	635	636	He analizado lo que sugirió y no me ayudó. Necesito que mi cuenta sea eliminada o mi contraseña para restablecer el correo electrónico y el nombre de usuario. Por favor pon a tu jefe.	Hice el pago en línea, el pago se realizó	0
330	639	640	cómo aplicar la garantía	¿El cupón se aplica automáticamente?	0
332	642	330	Pagué los productos que nunca he recibido, sin embargo, no yo, he puesto una confirmación de recibo y también un comentario	Nunca he recibido el producto comprado	1
334	645	646	el pedido ha sido enviado hace 20 días pero aún no lo recibí	¿Cómo sé si mi pedido ha sido enviado?	0
336	649	650	Lo sentimos, su transacción no pasó la verificación debido a razones de seguridad. La transacción ha sido cerrada.	Lo siento, su pago no fue exitoso. No se ha deducido dinero.	0
338	653	654	No puedo abrir la disputa	¿Puedo abrir una disputa que cancelé?	0
340	657	658	ok el te pierdes	Perdí mi contraseña	0
342	660	612	Quiero cambiar mi tarjeta de crédito que está registrada para el pago	Quiero un reembolso a mi tarjeta de crédito	0
344	663	664	¿Cómo puedo cambiar los datos de mi tarjeta de crédito?	¿Cómo puedo cambiar mi dirección de envío?	0
346	667	668	¿Qué pasará cuando abra una disputa?	¿Cuándo recibiré un reembolso después de abrir la disputa?	0
348	671	672	no puedo hablar en vivo	no puedo hablar inglés	1
350	675	676	Cómo encontrar vendedor es confiable	¿Cómo encuentro vendedores confiables?	1
352	407	678	que hora es en China?	¿Cuál es el número de contacto del China Post?	0
354	681	682	No quiero un robot estúpido, necesito una respuesta	no hablo ingles bien	0
356	685	686	Compré un iteam ayer y me han cobrado el iteam que aparece en el extracto de mi tarjeta de crédito. Trato de averiguar por qué cuando ingreso en mi historial de compras no aparece el número de pedido o el número de seguimiento.	¿Cómo puedo encontrar mi número de rastreo?	0
358	689	690	¿Qué es una protección del comprador?	que es la Protección del Comprador	1
360	693	694	¿Por qué sigues publicándome? "¡¡¡Caliente !!! Encendedor de cigarrillos sin llama recargable USB electrónico No hay gadgets de gas de color blanco" etc. que todos dicen "no se puede entregar a Finlandia" ¿Por qué no se puede enviar a Finlandia?	¿Cuántos días para entregar el paquete?	0
362	697	698	cómo usar el servicio de garantía?	Cómo usar el cupón?	0
364	701	702	vendedor tiene otro comportamiento	Tengo un problema con un vendedor malo	1
366	704	672	hago todo, y no puedo	no puedo hablar inglés	0
368	707	708	¿No creé una cuenta cuando pedí mi producto?	por qué no puedo crear una cuenta para mí	0
370	711	712	¿Qué sucede con mi pedido cuando el estado de mi envío indica "envío cancelado"?	¿Qué sucede si un pedido se muestra dos veces en mi cuenta?	0
372	715	716	¿Cómo puedo volver a enviar un vendedor de fraude?	¿Cómo puedo cambiar la disputa si el vendedor está de acuerdo?	0
374	719	720	El cargador inalámbrico que recibí está defectuoso y no se carga	Los productos son defectuosos	1
376	723	724	¿puedes bailar para mí?	Puedes llamarme	0
378	23	726	Hola Eva Al principio la pregunta. ¿Puedo escribir en alemán?	Eva entendiste mi pregunta	0
380	729	730	cómo eliminar la tarjeta de crédito?	¿Cómo eliminar pedidos innecesarios?	0
382	733	734	¿Puedo cambiar la cantidad de variantes de un producto para poder importarlo a shopify?	¿Puedo importar 1 solo artículo?	0
384	737	738	¿Cómo obtengo cupones y descuentos?	¿Puedo obtener estos cupones reactivados?	0
386	741	742	Hace un par de semanas busqué camisetas de la NASA en la tienda, en aquel entonces tenía muchos resultados. Pero ahora no tiene resultados. ¿Cómo puedo encontrar esos productos nuevamente?	¿Cómo estrechar mis resultados de búsqueda?	0
388	745	746	Hola, el vencimiento de mi tarjeta de crédito ha expirado y no puedo encontrar ningún lugar donde se puedan sobrescribir los nuevos datos de la tarjeta. ¿Usted me podría ayudar?	puedo usar una tarjeta de credito	0
390	749	750	guardar para más adelante	¿Qué hacer si el pedido se pagó y luego se cerró?	0
392	199	752	por favor lea arriba	por favor lee mi pregunta	1
394	754	752	¿puedes leer?	por favor lee mi pregunta	0
396	757	758	¿Puedo hacer una pregunta?	quiero hacer una pregunta	1
398	761	762	mi nombre es Bill	eliminar mi nombre en la transacción	0
400	765	766	por favor, alguien que sepa español, me resulta difícil escribir y traducir y luego traducir lo que me escribe	por favor dime que paso con mis articulos	0
402	769	770	¿Quién puede ayudarme por favor?	¿Me podría ayudar?	1
404	301	773	cómo abrir una disputa	¿Cómo cancelar una disputa?	0
406	301	775	cómo abrir una disputa	Necesito abrir una disputa	1
408	778	779	guardar detalles de la tarjeta	Necesito cambiar los detalles de mi tarjeta de crédito.	0
410	31	653	No puedo abrir una disputa	No puedo abrir la disputa	1
412	784	785	¿Cómo puedo obtener un recibo o factura de la orden?	¿Cómo obtengo una factura para pagar?	1
414	788	789	el vendedor no responde mi estado de reembolso	ha finalizado el tiempo de respuesta del vendedor	0
416	792	793	para mi teléfono	No puedo agregar mi número de teléfono	0
418	796	797	no sé dónde encontrar mi código de barras	¿Cómo puedes no saber?	0
420	800	801	no estoy seguro de qué significa 25cm por 33cm	¿Puedo asegurarme de que mi pago al vendedor está asegurado?	0
422	804	805	cómo agregar artículos en el carro	¿Cuántos productos puedo agregar en el carrito de compras?	0
424	808	809	He contactado al vendedor un horario de visitas pero él no devolvió mi dinero	He estado tratando de contactar a un vendedor pero él no me ha respondido	1
426	812	813	en mi estado de reembolso no aparece s 'Disputa	¿Por qué el pedido no se muestra en mi cuenta?	0
428	816	817	cómo abrir disputa para pedidos completados	Mi transacción se completó pero quiero abrir la disputa	1
430	820	821	agregando una tarjeta de crédito	dónde cargar el extracto de la tarjeta de crédito	0
432	824	825	¿cómo informo al vendedor?	¿Cómo informo a un vendedor?	1
434	125	827	es tu sitio seguro	¿Cómo funciona PayPal en su sitio?	0
436	830	831	hacer un pedido?	Quiero hacer un pedido por teléfono	0
438	834	835	cómo bloquear para bloquear al vendedor	¿Cómo puedo contactar al vendedor?	0
440	838	839	¿Cómo confirmo la entrega una vez que he recibido mi pedido?	Accidentalmente presioné confirmar la entrega pero no recibí mi pedido.	0
442	842	843	Cómo registrar una cuenta	registrar la cuenta es gratis o no	0
444	846	847	puede ayudarme	¿Me puedes ayudar?	1
446	850	851	CUANDO EL PRODUCTO ES FUTURO	¿Cuándo recibiré el producto que compré?	1
448	854	855	Quiero comprar varios artículos de un vendedor, pero después de comprar más que el sistema me cobra por el envío, el vendedor ajustará el precio, pero mi sistema no me permite hacerlo porque no puedo ordenar el artículo y pagarlo más tarde. ayuda	Quiero comprar varios productos del mismo vendedor	0
450	754	857	¿puedes leer?	¿Cómo puedo acceder y leer los comentarios que el vendedor me dio?	0
452	859	452	no puede contactar al vendedor	No puedo contactar al vendedor	1
454	862	863	cómo obtener la garantía	como obtengo PI	0
456	866	867	intenté pagar mi orden, ¿qué pasaría?	Traté de pagar con tarjeta de crédito pero apareció un error de Pedido digital inválido.	0
458	870	871	El estado ha terminado pero no tengo nada.	¿Cómo puedo abrir una disputa si el estado está terminado?	0
460	874	875	Entonces, ¿quién dará una respuesta?	vendedor que se niega a responder a mis correos electrónicos	0
462	878	879	Tengo un problema con el sistema Visité esta página Completé el formulario	Tengo un problema con el pago	0
464	882	883	cómo recibir un reembolso a través de Boleto?	¿Cómo recibo un reembolso de Boleto?	1
466	886	887	método de envío rápido	método de envío incorrecto	0
468	890	891	el vendedor no responde	tengo una disputa con el vendedor	0
470	894	895	Hay un error al traducir una palabra "orden" en inglés a turco ...	pagado por los bienes por error	0
472	898	899	enviar a Siria	enviar a otro lugar	0
474	902	903	eres una persona viva	¿Cómo puedo obtener una persona en vivo?	1
476	906	907	He recibido mis productos pero tienen el tamaño incorrecto. ¿Cómo puedo intercambiarlos?	Seleccioné el tamaño incorrecto	0
478	910	911	Quiero cancelar el pedido	Hice un pedido y pagué. Quiero cancelarlo	1
480	914	915	y hasta ahora no he tenido respuestas	Por favor, hágamelo saber su dirección de correo electrónico	0
482	918	919	Quiero enviar un pedido, el sistema de cerveza está ocupado. ¿Que debería hacer?	Esta cuenta no existe, ¿qué debería hacer?	0
484	922	923	19/5000 Acabo de cancelar	Ya cancelé pero tomaron dinero	0
486	926	927	Mi proveedor está cambiando el número de seguimiento, pero no puedo rastrearlo. El paquete prometido para enviar es de 7 días y se envió información incorrecta de que se envió. En realidad, no lo enviaron.	No puedo enviar mensajes a mi proveedor.	0
488	930	931	Hice una compra. No se procesó, por lo que los fondos se reembolsan. Pero me gustaría utilizar esos mismos fondos para otra compra sin tener que enviarlos de vuelta a mi banco, ya que he sobregirado la cuenta del mes. ¿Es posible mantener el f	¿Me devuelven mi dinero si cancelo una compra?	0
490	934	935	cómo establecer el método de envío	elegir el método de envío incorrecto	0
492	938	939	Quiero apelar tu juicio.	quiero tu correo	0
494	941	386	El botón de servicio en línea no está activado	Quiero hablar con un humano en línea	1
496	944	945	Pagué con tarjeta y no me envió un correo electrónico sobre el número de pedido	Cambié la tarjeta que pagó el pedido	0
498	948	949	¿Cómo cambio monedas en cupones?	¿Cómo uso las monedas?	1
500	952	953	cómo hacer una nueva tienda	cómo hacer el pago con WebMoney	0
502	956	957	Mi seguimiento no está funcionando.	¿Por qué mi orden de seguimiento no funciona?	1
504	960	961	voy a pedir otra ayuda	Quiero pedir un reembolso	0
506	964	965	¿Cómo puedo cambiar mi contraseña si ya no tengo acceso a ese correo electrónico?	¿Puedo pagar el pedido por correo electrónico?	0
508	968	969	Espero que entiendas lo que dije	Espero que puedas ayudarme	1
510	971	396	razones para la cancelación	Lo sentimos, su cuenta se ha marcado por algunos motivos y no puede participar en esta promoción.	0
512	910	973	Quiero cancelar el pedido	Quiero cancelar el pedido en orden congelado	0
514	976	977	que mierda es eso	joder eva eres caliente	0
516	980	981	Hola. Intento usar un código de descuento y no me permite ingresar el código	Estoy tratando de pedir un vestido, pero no me da el tamaño para elegir.	0
518	984	985	Cómo abrir una disputa	¿Cómo abro una disputa?	1
520	219	987	Necesito encontrar mi información de pago	¿Cómo puedo cambiar mi información de pago?	0
522	990	991	Quiero eliminar mi tarjeta de crédito de mi cuenta	¿Cómo eliminar el pago con un solo clic de mi cuenta?	1
524	994	995	Los productos que compré no funcionan. Me he puesto en contacto con el vendedor directamente, pero solo recibo emojis como respuestas. No se puede abrir una disputa.	Necesito una disputa abierta, pero no tengo la opción	1
526	998	999	¡Acabo de leer que rechazaste mi apelación!	¿Cómo puedo leer mis comentarios que el vendedor escribió sobre mí?	0
528	1001	698	¿Cómo intercambiar puntos por cupón?	Cómo usar el cupón?	0
530	1004	1005	Después de que se abrió la disputa, el vendedor me aseguró que llegaría	Una disputa abierta hace mucho tiempo. El vendedor está en silencio.	0
532	1008	1009	Cómo encontrar el barco del artículo de los EE. UU.	¿Cómo puedo buscar artículo por número de artículo?	0
534	1012	1013	¿Cómo solicito un reembolso?	¿Cómo recibo un reembolso por parte de Maestro?	0
536	1016	1017	No podemos crear una cuenta	No puedo iniciar sesión	0
538	1020	1021	devolver la dirección de envío del vendedor	La dirección de envío no está disponible	0
