pid	qid1	qid2	question1	question2	is_duplicate
257	499	500	At what time should I contact you to receive help?	What do you do in your spare time?	0
259	503	504	How do I cancel my account	I would like to know how to cancel my account?	1
261	507	508	So please delete my new account.	I want to reactivate my account. Please help.	0
263	511	512	why the price of product did not change	How do I change price at Euro?	0
265	437	515	a colleague said he would be restored	The seller said that the goods lost.	0
267	517	518	I cannot see order in my car	Why I cannot see my feedback?	0
269	521	522	Hi, I had ordered a cosplay costume with the wrong currency; I canceled the order and the seller told me it was cleared right away, but now there is not enough credit on the card; Could I kindly receive the amount back as quickly as possible? I have to reo	The seller told me to cancel the order to return the money. What can I do?	0
271	525	526	He wrote it to me yesterday	the seller change Carrier without telling me and now he want me to pay extra charges	0
273	529	530	de fault address	Can the seller change the address?	0
275	417	533	Hi Upon contact now there was an icon chat now on the left hand side of the page now is not anymore	What is the status right now?	0
277	535	536	is this a human being?	i need to speak with a human	1
279	539	540	I would like it as soon as possible	I would like live chat	0
281	543	544	Then this must be joke, you must be kidding me,,,	You confused me.	0
283	547	548	i already asked something i am talking with a computer isn't it	i have a dispute in progress but the seller refuses talking to me	0
285	551	552	Can I reopen a dispute	Can I reopen dispute after I close it?	0
287	555	556	I click the PAY NOW button and it says every time that there has been and erros so I cant pay my order	I have returned my order but the order has already been completed.	0
289	559	560	Every time I try to pay the order that I have placed, I get an error saying that for "security reasons" the payment could not be executed. How can this be solved?	I received an email saying my order was canceled for lack of payment	0
291	511	563	why the price of product did not change	Supplier change the order price without my permission	0
293	565	566	feedback is not showing	My account is showing up in Spanish, I need English.	0
295	569	570	ok please. or i can ask the other one.	can i ask you something	0
297	573	574	I just need a refund. I'm happy with this. Please pay the money.	i need a live representative please	0
299	577	578	Hello, I would like to know how to sponsor a friend.	I would like to know the feedback of a seller.	0
301	581	582	canceled no shipment	There is no information for my shipment at this time.	0
303	585	586	COME TO MY BED	I want my package to come faster	0
305	589	590	Registration email is not working	I received the email for my registration but I could not view verification link to click on it?	1
307	593	594	i don't receive my order	don't speak english	0
309	597	598	can I use visa card then. If so how could I add the card to the information	How can I buy goods if I do not have visa card?	0
311	601	602	how I pay money for my product what I choose	How do I choose the colors I want?	0
313	605	606	I want to use another payment method	i want to cancel an order and use the money to pay for another order	0
315	609	610	Hi Eva! I need to delete my old credit card and register my new credit card	I want refund to my credit card	0
317	613	614	I'd like to know about extra fee. What is it? How can I use?	I received a discount coupon I would like to know how can I use	0
319	617	618	i havent received my goods	how do I file a dispute after I received my goods and time ran out	0
321	621	622	the above question	I have a question on refund.	0
323	625	626	I received my orders and I am very unhappy with the way the shoes all smell.	I received item with very bad condition	1
325	629	630	my last commande i buy this	Why can't I buy products with my account?	0
327	633	634	I have gone through what you have suggested and it has not helped. I need to have my account either deleted or my password for the email and user name reset. Please put your boss on.	I have made online payment, payment had gone through	0
329	637	638	how to apply warranty	Does the coupon automatically apply?	0
331	641	328	I paid for the goods I have never received, though, not me, has put a receipt confirmation, and also a feedback	I have never received the product purchased	1
333	643	644	the order has been shipped 20 days ago but I haven't received it yet	how do i know if my order has been shipped?	0
335	647	648	Sorry, your transaction did not pass verification due to security reasons. The transaction has been closed.	Sorry, your payment was not successful! No money has been deducted.	0
337	651	652	I can't open dispute	Can I open a dispute I canceled	0
339	655	656	ok the get lost	I lost my password	0
341	659	610	I want to change my credit card which is registered for payment	I want refund to my credit card	0
343	661	662	how can i change my credit card details	How can I change my shipping address?	0
345	665	666	what will happen when I open a dispute	When will I receive refund after I open dispute?	0
347	669	670	cant speak to live chat	i cant speak english	1
349	673	674	How to find seller is reliable	How do I find reliable sellers?	1
351	405	677	what time is it in China?	What is the China Post contact number?	0
353	679	680	I dont want a stupid robot, I need an answer	i dont speak english good	0
355	683	684	I purchased an iteam yesterday and i have been charged the iteam which is showing on my credit card statement am trying to find out why when i go into my purchase history is not showing the order number or tracking number	How can I find my tracking number?	0
357	687	688	what is a buyer protection?	what is Buyer Protection	1
359	691	692	Why do you keep advertising me "Hot!!! USB Rechargeable Flameless Cigar Cigarette Electronic Lighter No Gas gadget White" etc which all say "cannot deliver to Finland? Why can not deliver to Finland?	how many days to deliver the parcel?	0
361	695	696	how to use warranty service?	How to use coupon?	0
363	699	700	seller have other behavior	I have a problem with a bad seller	1
365	703	670	i do all -and cant	i cant speak english	0
367	705	706	did i not create an account when I ordered my product	why I cannot create an account for me	0
369	709	710	What happens to my order when my shipment status says "shipment canceled"?	What happens if an order is shown twice on my account?	0
371	713	714	how can I repot a fraud seller	How can I change dispute if seller agreed?	0
373	717	718	The wireless charger l received is faulty and doesn't charge	The goods are faulty	1
375	721	722	can you dance for me?	Can you call me	0
377	21	725	Hi Eva. At first the question. Can I write in german?	Eva did you understand my question	0
379	727	728	how to remove credit card?	How to remove unnecessary orders?	0
381	731	732	Can I change the amount of variants of a product so I can import it to shopify?	Can I import 1 single item?	0
383	735	736	how do i get coupons and discounts	Can I get these coupons reactivated	0
385	739	740	A couple of weeks ago I searched for NASA shirts in the store, back then it had many results. But now it has no results. How can I find those products again?	How to narrow my search results?	0
387	743	744	Hello, my credit card expiration has expired and I can not find anywhere where the new card data can be overwritten. Could you help me?	can i use a credit card	0
389	747	748	save for later	What to do if the order was paid and later closed?	0
391	197	751	please read above	please read my question	1
393	753	751	can you read?	please read my question	0
395	755	756	May I ask a question?	I want to ask a question	1
397	759	760	my name is Bill	remove my name in the transaction	0
399	763	764	please someone who knows spanish l find it hard to write and translate and then translate what he writes to me	please tell me what happened to my items	0
401	767	768	who can help me please?	Could you please help me?	1
403	771	772	how to open a dispute	How to cancel dispute?	0
405	771	774	how to open a dispute	I need open a dispute	1
407	776	777	save card details	I need to change my credit card details.	0
409	780	781	I cannot open a dispute	I cannot open dispute	1
411	782	783	How can i get an order receipt or invoice?	How do I get an invoice to pay?	1
413	786	787	seller not response my refund status	Seller response time has ended	0
415	790	791	for my phone	I cannot add my phone number	0
417	794	795	i don't know where to find my barcode	How can you don't know?	0
419	798	799	not sure what 25cm by 33cm means	Can I make sure my payment to the seller is secured?	0
421	802	803	how to add items in cart	How many products I can add in Shopping Cart?	0
423	806	807	I have contact the seller a view times but he didn't give my money back	I have been trying to contact a seller but he has not answer me	1
425	810	811	in my refund status there is not showing s 'Dispute	Why the order is not showing on my account?	0
427	814	815	how to open dispute for completed orders	My transaction completed but I want to open dispute	1
429	818	819	adding a credit card	where to upload credit card statement	0
431	822	823	how do I report the seller?	How do I report a seller?	1
433	123	826	is your site secure	How does PayPal work on your site?	0
435	828	829	place an order?	I want to place order by phone	0
437	832	833	how to block to block the seller	How can I contact seller?	0
439	836	837	How do I confirm delivery once I have received my order	I accidentally pushed confirm delivery but I did not received my order.	0
441	840	841	How to register an account	register the account is free or not	0
443	844	845	can help me	Can you help me?	1
445	848	849	WHEN THE PRODUCT IS FUTURE	When will I receive the product that I purchased	1
447	852	853	I want to buy multiple items from a seller but after I buy more tha few the system charge me for shipping, the seller will adjust price, but my system does not allow me to do that because I can not order the item and pay later please help	I want to buy several products from same seller	0
449	753	856	can you read?	How can I access and read feedback the seller gave to me?	0
451	858	450	cannot contact seller	I cannot contact the seller	1
453	860	861	how to get warranty	how do i get PI	0
455	864	865	tried to pay for my order wouldnt go thru whats up?	I tried to pay with credit card but it came up error of Invalid Digital Order.	0
457	868	869	The status is finished but I have nothing.	how can I open dispute if status is finished?	0
459	872	873	So who will provide a answer	seller who refuses to answer to my emails	0
461	876	877	I have a problem with the system I visited this page I filled out the form	I have a problem with payment	0
463	880	881	how to receive refund through Boleto?	How do I receive a refund by Boleto?	1
465	884	885	fast shipping method	wrong shipping method	0
467	888	889	seller is not responding	i have a dispute with the seller	0
469	892	893	There is a mistake translating a word "order" in English to Turkish...	paid for the goods by mistake	0
471	896	897	ship to syria	ship to somewhere else	0
473	900	901	are a live person	How do I get a live person	1
475	904	905	i have received my goods but they are the wrong size how can i exchange them?	I selected the wrong size	0
477	908	909	I want to cancel the order	I placed an order and paid. I want to cancel it.	1
479	912	913	and until now I have had no answers	Please let me know your e mail address	0
481	916	917	I want to send an order, the beer system is busy. What should I do?	This account does not exist, what should I do?	0
483	920	921	19/5000 I just canceled	I canceled already but they took money	0
485	924	925	My supplier is changing tracking number, but I can not track it. The promised to send package is 7 days, and posted wrong information that it is shipped. Actually they did not send it.	I cannot send messages to my supplier.	0
487	928	929	I made a purchase. It wasn't processed so the funds are being refunded. But I would like to use those same funds for another purchase without having them sent back to my bank as I've overdrawn the account for the month. Is it possible to keep the f	Do I get my money back if I cancel a purchase?	0
489	932	933	how to set shipping method	choose wrong shipping method	0
491	936	937	I want to appeal your judgment.	i want your mail	0
493	940	384	The online service button is not activated	i want to talk to a human online	1
495	942	943	I paid via card and did not send me an email about the order number	I changed the card which paid for the order	0
497	946	947	how do I change coins into coupon	How do I use the coins?	1
499	950	951	how a make new store	how to make payment with WebMoney	0
501	954	955	My tracking is not working.	Why my tracking order is not working?	1
503	958	959	i will ask another help	I want to ask for a refund	0
505	962	963	How can i change my password if i don't have access to that e-mail anymore?	Can I pay for the order by e-mail?	0
507	966	967	I hope you understand what I said	I hope you can help me	1
509	970	394	reasons for cancellation	Sorry, your account has been flagged for some reasons and you are unable to participate in this promotion.	0
511	908	972	I want to cancel the order	I want to cancel order in Frozen Order	0
513	974	975	what is fuck is that	fuck eva you are hot	0
515	978	979	Hello. I am trying to use a discount code and it is not allowing me to input the code	I am trying to order a dress but it is not giving me a size to choose.	0
517	982	983	How to i open a dispute	How do I open an dispute?	1
519	217	986	i need to find my payment information	How can I change my payment information?	0
521	988	989	i want to remove my credit card from my account	How to remove 1-click checkout from my account?	1
523	992	993	The goods I purchased do not work. I have contacted the seller direct but am getting only emojis as replies. Cannot open a dispute.	I need open dispute but do not have the option	1
525	996	997	I just read that you rejected my appeal!	How can I read my feedback the seller wrote about me?	0
527	1000	696	How to exchange points to coupon?	How to use coupon?	0
529	1002	1003	After the dispute was opened the seller reassured me that it will arrive	A dispute opened long ago. The seller is silent.	0
531	1006	1007	How to find the item ship from USA	How can I search item by item number?	0
533	1010	1011	how do I apply for a refund	How do I receive a refund by Maestro?	0
535	1014	1015	We are unable to create an account	I am unable to sign in	0
537	1018	1019	return shipping address of the seller	The shipping address is not available	0
539	1022	1023	Hello, I cancelled my order. How long does it take to get my money back?	How long does it take to receive my order	0
541	1026	1027	is there anyone there?????	do u help anyone?	1
543	1030	815	I want love dispute open but i can't	My transaction completed but I want to open dispute	0
545	1032	1033	this is my order ID	I want change my name ID	0
547	1036	1037	My account iz broken	close my account	0
549	1040	1041	after hpw much days i received my product my country is pakistan i got my tracing number 2 days before	Do I pay before or after I receive my merchandise?	0
551	565	811	feedback is not showing	Why the order is not showing on my account?	0
553	1044	1045	how can i change my billing address	How can I change my name?	0
555	1048	1049	I cannot make an account and I want to track a package	I want to track an order	1
557	323	1052	Submitted my appeal 4 days ago and I didnt have any answer	I cancelled this order a few weeks ago, yet I have not received any money back.	0
559	1054	1055	How old are you	Where can I find old messages from the seller?	0
561	1058	861	how do I get the order number	how do i get PI	0
563	1060	1061	however, i tried to buy the same printer and paid it with the same credit card but its not working..	Can I buy 2 products from different seller in the same shipment?	0
565	1064	795	I don't know English	How can you don't know?	0
567	1066	1067	Why rewards points are going down?	I shared with friends but why not give points?	0
569	351	1070	If your order shows 'Canceled order', means	i have cancelled the order and it shows Awaiting Cancellation	0
571	225	1072	I deal for refund and return the product. The menu is too expensive that I send goods to China. Who bears the cost of transport of goods?	I want to send a product to China	0
573	852	1061	I want to buy multiple items from a seller but after I buy more tha few the system charge me for shipping, the seller will adjust price, but my system does not allow me to do that because I can not order the item and pay later please help	Can I buy 2 products from different seller in the same shipment?	0
575	908	1074	I want to cancel the order	I want to cancel my order but the cancel order option is not available anymore	0
577	1076	1077	i did not receive my refund yet	I did not receive my item. How do I get a refund?	0
579	814	1080	how to open dispute for completed orders	How to open dispute if my order has been completed?	1
581	1082	1083	My system goes straight to pay	I cannot pay my order with my card.	0
583	1086	1087	Hello, I'm still not tracking a package for one of my orders	I have sent money to a bank account CITIBANK N. A. SINGAPORE BRANCH.	0
585	1090	1091	I want to complaint	How do I file complaint?	1
587	1094	96	I am asking to combine orders for payment	When am I going to receive my orders?	0
589	1096	1097	i opened a dispute and the seller is stalking me	Seller told me that I could reopen the dispute	0
591	1100	1101	can you please tell me when my orders will be delivered	My order has been canceled. Can you tell me why?	0
593	517	1104	I cannot see order in my car	I cannot see the order I paid for.	1
595	1106	1107	i will visit China	Why I cannot choose China?	0
597	1110	1111	not save card	How can I save sellers?	0
599	962	1114	How can i change my password if i don't have access to that e-mail anymore?	I want to change my e-mail address because the old one was hacked, how can I do	0
601	1116	1117	how to add the reward points	How do I add items to the Shopping Cart?	0
603	1120	1121	i have only ATM for my payment please let me know the solution	I tried to make payment by card but it did not let me	0
605	1124	1125	i want to change my password	I could not able to change my Password.	0
607	1128	1129	Unable to upload image in the dispute	I cannot upload the attachment	1
609	1132	1133	how to add evidence to dispute?	How do I provide evidence to support my claim?	1
611	1136	1137	how do i go to customer care	How to care my bag?	0
613	1140	1141	Are you able to help me?	you can not help me	0
615	1144	1145	hi there! I'm about to clean a little bit my ordering list, however I couldn't delete one of my old orderings.	I want to clean all my order	1
617	1148	1149	Yes but the seller does not respond	The seller does not respond to me	1
619	1152	1153	hi where can i change my shipping address?	my courier change the shipping address	0
621	936	1156	I want to appeal your judgment.	I want to make one payment for your items.	0
623	1158	1159	I just wonder when I got my order	When will I receive my order?	1
625	1162	1163	About a month or so i was asked to provide validation documents. I submitted all the documents you requested. It hasnt been two months and i am being asked to submit them again. What the fuck? Why?	i want to fuck you	0
627	1166	1167	Is it true that I have to cancel the dispute before they can process a refund?	How can I contact with seller before the purchase?	0
629	1170	1171	My dispute is over, and now it's over, and now?	Where my item is now?	0
631	1174	1175	you are a computer?	does this automatically computer answer	1
633	1178	1179	I wanted to know about if using another credit card on the same account bring problem in making payments	can I do payments by credit card?	0
635	1182	1183	so answer me"!"/!/"	so nobody help me	0
637	1186	1187	a link should open up in my browser but it is broken and does nothing even though the little "hand" appears when hovering over	Why nothing happens when you click the button?	0
639	1190	1191	can I sell?	I only need one item, but the supplier does sell in lot	0
641	1194	1195	Can I call Customer service	Can customer service call me	1
643	1198	496	you want to know how to add passport details	How do you know the price?	0
645	1200	1201	ja watch for me	Do you watch news?	0
647	763	1204	please someone who knows spanish l find it hard to write and translate and then translate what he writes to me	I need to speak to someone please	0
649	1206	1207	how to edit account	How do I edit the escalated dispute?	0
651	1210	1211	its less than 20	My refund amount is less	0
653	1214	1215	How can i pay for my purchase?	How can I get my purchase history?	0
655	1162	1218	About a month or so i was asked to provide validation documents. I submitted all the documents you requested. It hasnt been two months and i am being asked to submit them again. What the fuck? Why?	I paid for my order, and I am being asked to pay it again, what do I do?	0
657	1220	1221	where can i find the iDeal icon? i cant find it anywhere	Can I pay with iDeal?	1
659	1224	1225	OMG I keep losing the conversation wtf?	I keep trying to pay but it declines it	0
661	1228	1229	Hi, I need your help. I would like to open dispute, but the order is finished and it's more than 15 days since I confirmed the receipt so it's not possible to open dispute. Is it still possible to open dispute for the reason that the item is not wo	I cannot open a dispute. I need your help.	1
663	1232	1233	How can I put the store on the black list?	I want to find out if this dress can be made in black and red	0
665	1236	1237	my order says the crown ink pens unavailable i have already paid	I have already paid for my orde, but the order status has not changed	0
667	1240	1241	no, i can not order anything	I did not order anything. What can I do?	0
669	928	1244	I made a purchase. It wasn't processed so the funds are being refunded. But I would like to use those same funds for another purchase without having them sent back to my bank as I've overdrawn the account for the month. Is it possible to keep the f	I would like a catalog of the items for purchase on you website	0
671	1246	1247	seller made no response	I have made an offer but i have not received any response from the suppliers?	1
673	1250	1251	how to check buyer's protection	How do I pay securely without Buyer Protection?	0
675	1254	1255	My contacts are all ok	ok no problem	0
677	1258	1259	unresolved refund status	Why the status shows Null?	0
679	1262	1263	Because my order never gets in hold always goes to paid instantly	My items never came	1
681	1266	1267	i want to know my refund payment status	I want to know if I can make my payment with American Express	0
683	1270	1271	can i speak with you in french?	do you speak french?	1
685	1274	1275	Where do I find settings to manage payment cards	How do I make a payment with 2 credit cards	0
687	828	1278	place an order?	Why I cannot place order?	0
689	1280	1141	Hi Im having trouble placing an order Can you help me figure out whats wrong with your system?	you can not help me	0
691	1282	1283	i am problem with my order	I am experiencing a problem with ordering a product.	0
693	1286	1287	where is the coupon located	Where are you located?	0
695	1290	1291	seller don't answer me	the seller did not answer me about refund, what can I do?	0
697	1294	1295	could you track the status of order	Can you help to track my order?	0
699	1298	1299	I filled out the form for appeal but I can not send it	How can I log out my account?	0
701	1302	1303	What are you doing	What are you doing now?	1
703	1306	1307	i mistakenly cancelled my order after made the payment. But i want my order to be done. What can i do?	When will i receive my refund after order is cancelled?	0
705	1310	1311	add videos on dispute	How to add video in my dispute?	1
707	1314	1315	Returns and refunds	How do I receive refunds if my credit card is changed?	0
709	1318	1319	how to delete my card	How to delete my account?	0
711	940	1322	The online service button is not activated	is this chat online?	0
713	1000	1324	How to exchange points to coupon?	How do I exchange the item for the right size?	0
715	1326	1327	My order is very late, and the vendor do not reply my messages	Where is my messages?	0
717	1330	1331	open dispute but seller refuse to refund	The seller refuse to ship my order	0
719	1334	1335	do you have a solution for that	Do you have dropshipping?	0
721	1338	1339	How do i extend buyer protection	do you have buyer protection?	0
723	1342	1343	i have question about New black Mini USB Wifi Adapter Pocket Network Wireless Router 2nd Soft AP Portable	I have question for you	0
725	1346	1347	I cannot pay with my Mastercard.	How do I pay with a mastercard	0
727	1350	1351	how to use bank transfer?	How do I pay by Bank Transfer?	1
729	1354	1355	upload video evidence	I cannot upload attachment.	0
731	1358	1359	Contact your reseller in his name Yvone Lee	Your account name or password is incorrect	0
733	1362	1363	regarding my order	I made payment, but I did not get any email regarding payment.	0
735	1366	1367	cancel order after payment when I get refund??	After the supplier agreed to cancel the order, how long will it take for me to get the full refund?	1
737	1370	1371	HE CAN SPEAK IN SPANISH?	Can you speak	1
739	1374	1375	i can't find it	fine thanks and you?	0
741	1378	1379	i don't paid because	I don't know	0
743	1382	1383	When I open a dispute it says Order empty	How do I open dispute with a finished order?	0
745	1386	1387	order list pages	What is a wish list?	0
747	1390	1391	There was a problem with an order I received so I sent the store 4 messages about the problem beginning last Thursday. I haven't heard back from them yet. Is that normal?	I have problem with this order	0
749	1394	1395	post sell claim	Am I able to sell things?	1
751	691	1398	Why do you keep advertising me "Hot!!! USB Rechargeable Flameless Cigar Cigarette Electronic Lighter No Gas gadget White" etc which all say "cannot deliver to Finland? Why can not deliver to Finland?	I need know when my order deliver to me	0
753	1400	1401	Escalate Judgement from AE	How can I escalate a dispute?	1
